,Real data,Predicted
1281571200000000000,1.2827999591827393,
1281657600000000000,1.2752000093460083,
1281916800000000000,1.2824900150299072,
1282003200000000000,1.288409948348999,
1282089600000000000,1.2851799726486206,
1282176000000000000,1.2821099758148193,
1282262400000000000,1.2709300518035889,
1282521600000000000,1.265589952468872,
1282608000000000000,1.262619972229004,
1282694400000000000,1.2656300067901611,
1282780800000000000,1.2714799642562866,
1282867200000000000,1.2759300470352173,
1283126400000000000,1.2661900520324707,
1283212800000000000,1.2678799629211426,
1283299200000000000,1.2807899713516235,
1283385600000000000,1.2823899984359741,
1283472000000000000,1.2893799543380737,
1283731200000000000,1.287410020828247,
1283817600000000000,1.268090009689331,
1283904000000000000,1.2719999551773071,
1283990400000000000,1.2693899869918823,
1284076800000000000,1.2679599523544312,
1284336000000000000,1.2881200313568115,
1284422400000000000,1.299649953842163,
1284508800000000000,1.301010012626648,
1284595200000000000,1.3076599836349487,
1284681600000000000,1.3047499656677246,
1284940800000000000,1.3060599565505981,
1285027200000000000,1.3262399435043335,
1285113600000000000,1.3404899835586548,
1285200000000000000,1.331380009651184,
1285286400000000000,1.3492200374603271,
1285545600000000000,1.345329999923706,
1285632000000000000,1.3584100008010864,
1285718400000000000,1.3625799417495728,
1285804800000000000,1.3633099794387817,
1285891200000000000,1.3789900541305542,
1286150400000000000,1.3683799505233765,
1286236800000000000,1.3837599754333496,
1286323200000000000,1.392899990081787,
1286409600000000000,1.392549991607666,
1286496000000000000,1.393530011177063,
1286755200000000000,1.3874800205230713,
1286841600000000000,1.3923900127410889,
1286928000000000000,1.396090030670166,
1287014400000000000,1.4082399606704712,
1287100800000000000,1.3974599838256836,
1287360000000000000,1.3932499885559082,
1287446400000000000,1.372439980506897,
1287532800000000000,1.3962600231170654,
1287619200000000000,1.3918700218200684,
1287705600000000000,1.3952699899673462,
1287964800000000000,1.3963899612426758,
1288051200000000000,1.385759949684143,
1288137600000000000,1.376889944076538,
1288224000000000000,1.3929500579833984,
1288310400000000000,1.39451003074646,
1288569600000000000,1.3895599842071533,
1288656000000000000,1.4032299518585205,
1288742400000000000,1.4130200147628784,
1288828800000000000,1.4216400384902954,
1288915200000000000,1.4030799865722656,
1289174400000000000,1.3918800354003906,
1289260800000000000,1.377120018005371,
1289347200000000000,1.378100037574768,
1289433600000000000,1.366610050201416,
1289520000000000000,1.3690400123596191,
1289779200000000000,1.3586100339889526,
1289865600000000000,1.3489199876785278,
1289952000000000000,1.3528599739074707,
1290038400000000000,1.3640999794006348,
1290124800000000000,1.367169976234436,
1290384000000000000,1.36257004737854,
1290470400000000000,1.3366700410842896,
1290556800000000000,1.3333799839019775,
1290643200000000000,1.3358999490737915,
1290729600000000000,1.323930025100708,
1290988800000000000,1.3124300241470337,
1291075200000000000,1.2981200218200684,
1291161600000000000,1.3137600421905518,
1291248000000000000,1.3208999633789062,
1291334400000000000,1.3413300514221191,
1291593600000000000,1.330649971961975,
1291680000000000000,1.3260400295257568,
1291766400000000000,1.3260400295257568,
1291852800000000000,1.3237600326538086,
1291939200000000000,1.3223199844360352,
1292198400000000000,1.338919997215271,
