2010.12.06,00:00,1.33795,1.34215,1.32456,1.33065,138742
2010.12.07,00:00,1.33063,1.34002,1.32571,1.32604,144660
2010.12.08,00:00,1.32603,1.32794,1.31794,1.32604,150425
2010.12.09,00:00,1.32603,1.33220,1.31640,1.32376,157324
2010.12.10,00:00,1.32378,1.32826,1.31779,1.32232,122431
2010.12.13,00:00,1.31966,1.34329,1.31818,1.33892,119458
2010.12.14,00:00,1.33895,1.34975,1.33625,1.33767,151223
2010.12.15,00:00,1.33766,1.33809,1.32080,1.32128,138524
2010.12.16,00:00,1.32126,1.32655,1.31813,1.32426,112471
2010.12.17,00:00,1.32427,1.33587,1.31321,1.31878,118189
2010.12.20,00:00,1.31846,1.31857,1.30941,1.31296,95378
2010.12.21,00:00,1.31297,1.32011,1.30726,1.30990,92076
2010.12.22,00:00,1.30994,1.31801,1.30778,1.30986,84988
2010.12.23,00:00,1.30990,1.31501,1.30540,1.31128,76583
2010.12.24,00:00,1.31123,1.31462,1.30879,1.31141,17313
2010.12.27,00:00,1.31135,1.31694,1.30706,1.31652,42492
2010.12.28,00:00,1.31641,1.32737,1.30934,1.31140,79677
2010.12.29,00:00,1.31142,1.32382,1.30830,1.32243,72908
2010.12.30,00:00,1.32241,1.33139,1.32158,1.32870,72630
2010.12.31,00:00,1.32885,1.34229,1.32841,1.33610,44327
2011.01.03,00:00,1.33456,1.33944,1.32498,1.33595,75663
2011.01.04,00:00,1.33595,1.34325,1.32913,1.33066,113811
2011.01.05,00:00,1.33066,1.33241,1.31253,1.31491,111871
2011.01.06,00:00,1.31488,1.31692,1.29964,1.30022,109111
2011.01.07,00:00,1.30018,1.30204,1.29049,1.29067,108336
2011.01.10,00:00,1.28756,1.29631,1.28728,1.29495,92288
2011.01.11,00:00,1.29496,1.29918,1.29043,1.29733,98534
2011.01.12,00:00,1.29729,1.31439,1.29614,1.31297,106721
2011.01.13,00:00,1.31300,1.33832,1.30885,1.33645,119476
2011.01.14,00:00,1.33637,1.34559,1.33129,1.33862,121952
2011.01.17,00:00,1.33841,1.33841,1.32439,1.32927,87060
2011.01.18,00:00,1.32926,1.34661,1.32528,1.33853,130983
2011.01.19,00:00,1.33849,1.35379,1.33680,1.34720,127373
2011.01.20,00:00,1.34717,1.35226,1.33951,1.34712,147654
2011.01.21,00:00,1.34711,1.36239,1.34482,1.36194,134030
2011.01.24,00:00,1.36410,1.36854,1.35391,1.36364,113464
2011.01.25,00:00,1.36365,1.37028,1.35720,1.36799,140369
2011.01.26,00:00,1.36802,1.37207,1.36396,1.37127,115607
2011.01.27,00:00,1.37124,1.37575,1.36363,1.37326,111049
